,author,content,title
0,سورغر توخى,"
داچاودنه هغه مهال رامنځ ته شوه کله چې دنوموړې ولسوالۍ سرتيري په ګزمه روان وه .
دوالسوالۍ په دوه کليوميتري کې لمرخاته لورته په وچ مانده کې يې پر موټر ښخ کړل شوى ماين وچاوديد چې اوه واړه په کې وژل شوي دي .
دمعروف ولسوالۍولسوال معلم سيد په دې اړه دبينوا ويبپاڼې خبريال ته وويل :""داماين په لاره کې ښخ کړل شوى وه کله چې زموږ سرتيري په ګزمه پر دې لاره تله ورباندې وچاودېده اوه نفره کې مړه شوي دي .""
دولسوال په وينا په دې اړه پلټنه روانه ده خو تر اوسه يې دپيښې په اړه تورن کس نه ده نيولى .
 
 
  ",دکندهار په معروف ولسوالي کې چاودنه ٧ دولتي سرتيري مړه
1,سورغرتوخى,"
دکندهار دلو يې والو په سيمه کې دبريښناکوټ څنګ ته دوه نفره چې پر موټر سيکل سپاره وه په ماين والوتل .""
دپيښې په اړه دکندهار امينت امير سالم احساس دبينواويبپاڼې خبريال ته وويل :""دادوه نفره ښارته راروان وه ماښام اوه بجې وي له دوى سره ماين وه ،غوښتل يې په ښار کې يې يوځاي ښخ کړي خو پلان يې شنډ شو داماين پر دوى پخپله وچاوديده، دوى دواړه په کې ټوټه ټوټه  شوي دي او يو بل تن ښاري کس چې لاره وى وه هم په دې پيښه کې زخمي شوى ده اوس په روغتون کې تر درملنې لاندې ده.
 
 
  ",په کندهار ښار کې دوه نفره چې پر موټر سيکل يې ماين دايښودلوځاى ته ليږداوه دوى پخپله په کې والوتل   
2,,"
",
3,,"
",
4,,"

      
(آزادي): د افغانستان د انتقالي دولت مشرښاغلي کرزي نن وويل چې د شنبي په ورځ د جمهوري رياست انتخابات به د راتلونکي پيړيو لپاره د افغانستان برخه ليک وټاکي. کرزي دکابل په ملي  لوبغالي کښي په زرګونو راټول شوو خلکو ته وينا وکړه او ويول چې د جمهوري رياست  ټاکنې به په هرو پنځو کالونو کښي تر سره کيږي خو د شنبي د ورځي ټاکني چې د هيواد په تاريخ کښي لومړنۍ دموکراتيکې ټاکني دي ډيرې مهمې دي. انتخاباتي مبارزه او هلي ځلي چې امنيتي انديښنو پري سورې غورځولي دي نن پاي ته رسيږي.
 
 
 
 
 
 
 
  ",د کابل ملي لوبغالي کښي د ښاغلي کرزي وينا
5,,"
",
6,,"
د (( داستانونه )) دريمه گڼه چاپ شوه
د دوه مياشتنۍ مجلې داستانونه درېمه گڼه په کابل کې چاپ شوه . د ١٠٠ مخونو په دغې مجلې کې چې يوازې لنډې کيسې خپروي دا ځل د سناريو ليکنې په باب اوږده سريزه کښل شوې او د شاعر و ليکوال پير محمد کاروان يوه سناريو پکې خپره شوې ده . د دوهمې دورې په دغې درېمې گڼې کې د استاد سعدالدين شپون ، زرين انځور ، ايمل پسرلي او د يو شمير نورو کيسه ليکوالو  لنډې کيسې هم خپرې شوي دي . داستانونه مجله خپله وېبپاڼه هم لري چې  مجله  او ځينو کتابونه پکې ترلاسه کولى شئ . www.dastanona.com ",(( داستانونه )) چاپ شوه 
7,حبيب الله غمخور ( مالمو سويډن ),"


  دحبيب الله غمخور ليکنه / مالمو _ سويډن دادۍ دوي ورځي وروسته زموږ په هيواد کښي د بن دکنفرانس د توافقاتو په اسا س دهيواد په تاريخ کي دلمړې ځل لپاره افغانان نارينه او ښځي د ولسمشر د ټاکلو لپار ه د رايي ورکولو صندوقو ته دريږي  د هيواد راتلونکې پخپل دغه کوچنی کارت سره ټاکي ،او دارگ دروازي پخپلو لاسو راتلونکي واکدار ته پرانيزي .",د ولسمشرۍ ټولټا کني او افغان ا و لس وروستۍ اند يښنې !
8,کوچۍ م,"
د آغلي کوچۍ م ژباړه :
پيم فورتاون څوک و؟
ولهلموس سيمون پيترس فورتاون  په کال ١٩٤٨ د فروري په نولسمه نېټه په يوې کنزرواتيوي  ( محافظه کاري ) روم کتوليکي کورنۍ کښي د هالنډ په  –  فلسن -  ښار کښي دې نړۍ ته  سترګي وغړولې. د ښوونځی ټولي زده کړي يې په برياليتوب سر ته ورسولې. د لوړو زدکړو په وخت چي تاريخ، اجتماعيات ، حقوق او اقتصاد يې ويلو د هالنډ په مرکز امستردام کښي د زدکونکو په يوه غورځنګ کښي هم فعاله  و. ددي نه څلور کاله وروسته يې د امستردام په پوهنتون کښي د اجتماعياتو ډاکټري تر لاسه کړه. وروسته له دي يې د هالنډ د ګروننګن ( خرونينګن ) په پوهنتون کښي په اجتماعي اقتصادي سياست کښي د اجتماعي پوهي ډاکټري تر لاسه کړه.   
 پيم فورتاون د عيسوي  پروتستانو درهبري  غړي و. او وروسته د دې  نه يې  شپاړس کاله د ګروننګن ( خرونينګن ) په پوهنتون کښي د اجتماعياتو د پروفيسر په څېرکار کولو. په١٩٨٦ز کال کښي هغه داجتماعي اقتصادي شورا سره  همکار هم و او د دې نه وروسته روتردام ته ولاړ او هلته يې د فورتاون په نوم يوه د سلا مشوري اداره پرانيستله. وروسته له دي په کتاب  ليکنه بوخت شو، په مجلو او اخبارونو کښي وځليد او ډير ژر  په تلويزوني پروګرامونو کښي په  وار وار د ميلمه په حيث وبلل شو. د ده د کتابونو په کتار کښي يو کتاب ( زموږ دکلتور د اسلاميزي کولو په ضد) تر نامه  لاندې  خپور شو. چې لوستونکي يې په لوستلو هک پک شول. 
د ٢٠٠١ز کال په اخيره کښي يې پريکړه وکړه چې د سياست په ډګر کښي ګام کښيږدي او په همدغه کال کښي د _ ليف بار نيدرلينډ_ په نوم يو ګوند کښې د مشر په حيث انتخاب  شو. دغه ګوند په هالند کښي د دولتي  سيستم د کار سره د نا خوښۍ له امله منځ ته راغلي و. ددغه ګوند شهرت  په ډيره لږه موده کښي ډيرلوړ شو چې ټول د پيم له برکته وو. پم په هغه وخت کښي نږدې د بحثونو په  هر تلويزونی پروګرام کښي ليدل کيده ،  د خپل ځانګړي او د نورو څخه د بيل نظر له امله يې د کتونکو شمېر ورځ په ورځ زياتيده. د نورو ګوندونو مشرانوته د ده د شهرت په زياتوالي داانديښني زياتيدلې چي چيري پيم ټولټاکني ونه ګټي؟ 
د پيم خبرواو نظرونو که يوي خوا ته هغه ته شهرت او د ګوند د برياليتوب لپاره لاره اواره وله ، نو له بلي خوا  يې د خلکو په زړه کښي د هغه لپاره کينه او کرکه هم منځ ته راوړله. له دې کبله څو ځله د نا معلومو کسانو له لوري اخطارونه  ورکړل شوي و. حتي چې يو ورځ په تلويزيوني پروګرام کښي د ده د خبرو په وخت په ده تورتونه (کيکونه) وغورځول شول. 
 د پيم نظر د نورو کانديدانو سره په ډيرو خبرو کښي توپير درلود خو په دوه و خبرويې د ډيرو خلکو پاملرنه ځان ته راګرزولې وه: يو يې ويل چي په هالند کښي د بهرنيانو لپاره هيڅ  ځاي نشته. او بله دا چي اسلام يې يو وروسته پاتي کلتور باله . د هغه په فکر اسلام د نړۍ د سولي لپاره د يو لوي خطر په څير و چې بايد مخنيوي يې وشي . 
 ټول په دي خبره باور لري چې پم د هالنډ سياست د بيخه سره ولړزولو. د هغه د سياست په ډګر کښي د پښې ايښودلو سره سم ټول دباتونه ( مشاجري ) ، بحثونه او سياسي مخالفتونه  منځ ته راغلل. او د هالنډ وګړواو حکومت دواړو ته دا ويره پيدا شوه  چې پيم خوبه په هالنډ باندي واکمني نه غواړي؟ 
د کال ٢٠٠٢ د ماي په ٦ نېټه ، د هالنډ د ولسمشرۍ د ټاکنو څخه نږدي يوه اونۍ مخکې، پيم د هالنډ  هيلورسم په ښارکښي په داسي مهال ووژل شو چې د يوي راډيويي اداري سره د مرکې څخه وروسته  دباندي راوتلو. د هالند په اوسني ( معاصر) تاريخ کښي د پم مرګ لومړی سياسي مرګ و.
د هغه د وژلو دلايل ډير دي لکه:  د اسلام په خلاف د هغه خبري، په سياست کښي د هغه مخالفين، د هغه دا نظر چې د مهاجرو لپاره په هالند کښي ځاي نه شته، او داسي نورکيدي شي. خوتر اوسه هيڅ معلومه نه ده  چې ولي ووژل شو. اود هغه قاتل اروايې  مريض وپيژندل شو.

کله چي پيم يوه خبري کنفرانس ته د خبرو پر وخت له غابونو ( پېش قابونو ) سره په کيکونو  وويشتل شو . بيا يې هم د خبريالانو پوښتنو ته ځوابونه وويل .
 
 
 
 
 
کله چي پيم فورتاون د هالنډ د هيل ور سوم په ښار ګوټي دي له ميډيا پارک نه د راوتلو په حال کي وو د يوه تن له خوا د تپانچې  څو پرله پسې ډزي پر وشوې ، او پيم فورتاون له نړۍ په داسي حال کي سترګي پټي کړې چي د ګوتو په شمير ورځي د هالنډ د هيواد ټولټاکنو ته پاته وې .
",ټولټاکني ، کانديدان ، او د بې امنيتۍ پايلي 
9,,"
",
10,,"
په افغانستان کي د ولسمشري ټاکنو د کمپېن په وخت کى چى د ولسمشر حامد کرزي انتخاباتي مرستيال احمد ضيا مسعود له خوا تر سره کېده بمي بريد شويدى .دغه بريد د بدخشان د ولا يت مرکز فيض آباد په ښارکى شويدى .پدې پېښې کى يو تن وژل شوي او پنځه تنه نور د ځايي پخوا ني والي سيد اکرامالدين معصومې په گډون ټپيان شويدى . 
 
 
 
  ",احمد ضيا مسعود په بمي چادونه کښي روغ پاته شوی دی 
